Change Component Physical Designator: Old Designator=*? New Designator=*?.RealTimeClock
Change Component Physical Designator: Old Designator=+? New Designator=+?.Logic_Power
Change Component Physical Designator: Old Designator=+? New Designator=+?.Logic_Power
Change Component Physical Designator: Old Designator=C? New Designator=C?.Logic_Power
Change Component Physical Designator: Old Designator=C? New Designator=C?.Logic_Power
Change Component Physical Designator: Old Designator=C? New Designator=C?.Logic_Power
Change Component Physical Designator: Old Designator=C? New Designator=C?.Logic_Power
Change Component Physical Designator: Old Designator=C? New Designator=C?.RealTimeClock
Change Component Physical Designator: Old Designator=C?_1 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_1 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_1 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_1 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_1 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_1 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_1 New Designator=C?.Voltage_sensor
Change Component Physical Designator: Old Designator=C?_1 New Designator=C?.Voltage_sensor
Change Component Physical Designator: Old Designator=C?_1 New Designator=C?.Voltage_sensor
Change Component Physical Designator: Old Designator=C?_2 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_2 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_2 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_2 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_2 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_2 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_2 New Designator=C?.Voltage_sensor
Change Component Physical Designator: Old Designator=C?_2 New Designator=C?.Voltage_sensor
Change Component Physical Designator: Old Designator=C?_2 New Designator=C?.Voltage_sensor
Change Component Physical Designator: Old Designator=C?_3 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_3 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_3 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_3 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_3 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_3 New Designator=C?.Current_sensor
Change Component Physical Designator: Old Designator=C?_3 New Designator=C?.Voltage_sensor
Change Component Physical Designator: Old Designator=C?_3 New Designator=C?.Voltage_sensor
Change Component Physical Designator: Old Designator=C?_3 New Designator=C?.Voltage_sensor
Change Component Physical Designator: Old Designator=C_senseH?_1 New Designator=C_senseH?.Current_sensor
Change Component Physical Designator: Old Designator=C_senseH?_2 New Designator=C_senseH?.Current_sensor
Change Component Physical Designator: Old Designator=C_senseH?_3 New Designator=C_senseH?.Current_sensor
Change Component Physical Designator: Old Designator=C_senseN?_1 New Designator=C_senseN?.Current_sensor
Change Component Physical Designator: Old Designator=C_senseN?_2 New Designator=C_senseN?.Current_sensor
Change Component Physical Designator: Old Designator=C_senseN?_3 New Designator=C_senseN?.Current_sensor
Change Component Physical Designator: Old Designator=C_senseVccH?_1 New Designator=C_senseVccH?.Current_sensor
Change Component Physical Designator: Old Designator=C_senseVccH?_2 New Designator=C_senseVccH?.Current_sensor
Change Component Physical Designator: Old Designator=C_senseVccH?_3 New Designator=C_senseVccH?.Current_sensor
Change Component Physical Designator: Old Designator=C_senseVccN?_1 New Designator=C_senseVccN?.Current_sensor
Change Component Physical Designator: Old Designator=C_senseVccN?_2 New Designator=C_senseVccN?.Current_sensor
Change Component Physical Designator: Old Designator=C_senseVccN?_3 New Designator=C_senseVccN?.Current_sensor
Change Component Physical Designator: Old Designator=D? New Designator=D?.MCU
Change Component Physical Designator: Old Designator=D? New Designator=D?.MCU
Change Component Physical Designator: Old Designator=D?_1 New Designator=D?.Voltage_sensor
Change Component Physical Designator: Old Designator=D?_1 New Designator=D?.Voltage_sensor
Change Component Physical Designator: Old Designator=D?_1 New Designator=D?.Voltage_sensor
