Change Component Physical Designator: Old Designator=*?.RealTimeClock New Designator=*?.
Change Component Physical Designator: Old Designator=+?.Logic_Power New Designator=+?.
Change Component Physical Designator: Old Designator=+?.Logic_Power New Designator=+?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Current_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Logic_Power New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Logic_Power New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Logic_Power New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Logic_Power New Designator=C?.
Change Component Physical Designator: Old Designator=C?.RealTimeClock New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Voltage_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Voltage_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Voltage_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Voltage_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Voltage_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Voltage_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Voltage_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Voltage_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C?.Voltage_sensor New Designator=C?.
Change Component Physical Designator: Old Designator=C_senseH?.Current_sensor New Designator=C_senseH?.
Change Component Physical Designator: Old Designator=C_senseH?.Current_sensor New Designator=C_senseH?.
Change Component Physical Designator: Old Designator=C_senseH?.Current_sensor New Designator=C_senseH?.
Change Component Physical Designator: Old Designator=C_senseN?.Current_sensor New Designator=C_senseN?.
Change Component Physical Designator: Old Designator=C_senseN?.Current_sensor New Designator=C_senseN?.
Change Component Physical Designator: Old Designator=C_senseN?.Current_sensor New Designator=C_senseN?.
Change Component Physical Designator: Old Designator=C_senseVccH?.Current_sensor New Designator=C_senseVccH?.
Change Component Physical Designator: Old Designator=C_senseVccH?.Current_sensor New Designator=C_senseVccH?.
